K,R* Time(ms),Sequential Scan Time(ms)
1000,24.1935,1349.0392
2000,30.7987,1274.4142
3000,40.1902,1213.4766
4000,51.0316,1249.7705
5000,58.0459,1227.821
6000,69.9595,1247.2984
7000,84.2483,1262.0691
8000,97.7539,1215.905
9000,105.3567,1183.956
10000,118.001,1218.3792
11000,130.2256,1239.5475
12000,132.7532,1199.9672
13000,167.7479,1266.6662
14000,159.0177,1262.6958
15000,165.9584,1238.4513
16000,177.3115,1190.4558
17000,191.5589,1178.084
18000,206.4546,1178.9106
19000,210.8871,1309.7456
20000,240.6017,1311.6898
21000,259.7333,1288.4116
22000,268.3724,1182.7351
23000,267.2481,1280.9996
24000,266.7404,1184.8248
25000,258.646,1189.3948
26000,267.3696,1192.3491
27000,268.8976,1232.5831
28000,315.1612,1256.482
29000,324.7661,1226.5245
30000,287.028,1296.19
31000,324.3891,1278.103
32000,308.896,1297.7951
33000,303.4294,1314.4155
34000,327.1871,1222.4724
35000,312.7891,1205.1032
36000,314.0354,1198.2541
37000,344.6761,1212.1176
38000,369.8053,1253.9871
39000,336.8817,1207.483
40000,341.9681,1237.8422
41000,361.3302,1211.279
42000,358.9525,1208.893
43000,367.8413,1288.0495
44000,383.154,1310.6725
45000,374.5315,1268.6754
46000,396.2319,1247.5831
47000,432.089,1325.6014
48000,439.2162,1324.6035
49000,412.1898,1285.2716
50000,436.7505,1312.8761
51000,453.5016,1255.8997
52000,433.2121,1316.7089
53000,428.9258,1344.6165
54000,413.9401,1224.3026
55000,412.7139,1235.3196
56000,421.788,1228.0854
57000,429.6024,1342.3915
58000,461.1864,1307.2039
59000,443.4579,1229.6631
60000,435.2319,1236.5187
61000,441.5012,1226.9091
62000,449.7713,1231.2616
63000,450.0134,1247.8045
64000,523.2834,1329.4686
65000,486.1254,1307.3242
66000,540.3955,1321.8367
67000,473.7399,1250.2682
68000,496.9342,1320.0161
69000,493.329,1354.5654
70000,512.1572,1242.3643
71000,498.2898,1276.4148
72000,558.0839,1270.9549
73000,532.4545,1324.0796
74000,529.1879,1303.965
75000,527.0106,1330.8703
76000,567.8581,1378.1539
77000,574.0293,1354.3593
78000,576.899,1357.0543
79000,611.3751,1266.851
80000,551.218,1252.4701
81000,562.0231,1308.0506
82000,634.0222,1378.3414
83000,623.853,1357.7327
84000,588.4837,1347.8658
85000,626.7886,1329.8003
86000,690.8413,1264.5885
87000,624.2651,1273.8987
88000,611.1494,1270.1563
89000,691.3072,1295.0737
90000,632.4847,1273.0202
91000,643.2126,1265.535
92000,654.2973,1270.7857
93000,699.9542,1318.1021
94000,689.5653,1311.4856
95000,678.7768,1275.6089
96000,679.0883,1309.3081
97000,698.7116,1404.3524
98000,760.3664,1320.4918
99000,742.8613,1274.1499
100000,727.4626,1290.996
101000,806.9884,1409.5044
102000,801.3082,1328.0687
103000,786.0189,1286.4142
104000,835.2953,1315.1868
105000,785.3691,1300.807
106000,779.1536,1291.0037
107000,789.2749,1295.8228
108000,795.1252,1385.7116
109000,898.3726,1321.805
110000,895.2241,1404.9789
111000,894.2977,1312.774
112000,872.1987,1325.8913
113000,857.9758,1314.5599
114000,849.132,1335.7407
115000,879.5552,1411.7341
116000,886.4532,1324.8748
117000,865.7947,1417.8698
118000,967.4482,1355.6382
119000,893.5439,1452.5148
120000,928.2114,1342.9803
121000,959.2942,1411.0836
122000,891.2223,1352.9227
123000,948.2956,1409.8079
124000,976.0437,1452.0114
125000,1033.2963,1334.0042
126000,994.194,1345.6053
127000,919.6315,1322.0207
128000,941.2494,1392.0847
129000,965.7656,1408.505
130000,1006.0987,1333.1192
131000,1046.4293,1450.6998
132000,982.4126,1480.1429
133000,1075.1306,1480.1702
134000,994.0785,1349.7429
135000,1032.0419,1462.6565
136000,1066.1243,1403.9416
137000,1042.7969,1402.7433
138000,1061.5062,1485.4964
139000,1127.7955,1454.2996
140000,1123.8993,1432.8739
141000,1056.4161,1377.6085
142000,1038.4425,1360.5149
143000,1134.4609,1425.1051
144000,1104.265,1418.4577
145000,1042.3005,1384.746
146000,1075.1503,1412.8009
147000,1059.2991,1452.7731
148000,1123.8229,1422.6301
149000,1078.4366,1364.673
150000,1140.2582,1351.0431
151000,1097.7073,1373.9227
152000,1062.1324,1356.6518
153000,1067.4232,1361.7361
154000,1073.3907,1362.8188
155000,1105.6858,1412.9571
156000,1163.9299,1451.5776
157000,1166.8316,1364.8017
158000,1191.8129,1403.6815
159000,1105.3479,1346.0273
160000,1108.0354,1355.7277
161000,1180.7691,1418.7167
162000,1213.9971,1419.3597
163000,1198.5641,1494.9721
164000,1202.1489,1405.1371
165000,1169.586,1429.792
166000,1182.9646,1412.0597
167000,1255.5135,1464.2889
168000,1185.21,1444.5438
169000,1180.373,1463.1385
170000,1178.2911,1401.5501
171000,1244.5768,1415.4588
172000,1189.1335,1433.3813
173000,1294.316,1448.4748
174000,1251.1185,1394.8154
175000,1263.2392,1470.53
176000,1322.0407,1479.152
177000,1376.961,1494.6381
178000,1295.3545,1490.5632
179000,1400.766,1458.5351
180000,1349.1384,1421.9668
181000,1355.0082,1475.6094
182000,1380.3303,1440.3633
183000,1462.8258,1407.5766
184000,1335.8152,1538.285
185000,1489.2577,1488.4453
186000,1388.9176,1402.5842
187000,1459.5003,1566.4779
188000,1470.0248,1452.418
189000,1410.7356,1533.3293
190000,1428.2387,1464.199
191000,1484.1105,1546.9328
192000,1556.2891,1453.6869
193000,1439.2856,1414.6256
194000,1442.3246,1440.2528
195000,1479.9312,1510.4645
196000,1433.155,1405.8177
197000,1525.8888,1521.527
198000,1581.9087,1447.4857
199000,1458.5506,1477.2082
200000,1525.8347,1500.1217
201000,1529.6465,1417.5104
202000,1519.3239,1467.4365
203000,1594.895,1469.4256
204000,1489.5262,1456.6773
205000,1609.7058,1436.5655
206000,1705.7288,1438.6814
207000,1633.9934,1538.0767
208000,1636.1975,1435.8487
209000,1630.3944,1401.0782
210000,1520.829,1436.5322
211000,1618.1465,1474.5619
212000,1680.3909,1438.8604
213000,1602.2567,1473.867
214000,1567.5781,1428.0763
215000,1575.4989,1426.1982
216000,1569.7081,1461.2588
217000,1637.6459,1465.4377
218000,1649.6019,1498.0805
219000,1588.7617,1515.1701
220000,1602.4748,1484.8024
221000,1617.8507,1437.6796
222000,1606.735,1444.8258
223000,1607.7733,1435.3519
224000,1604.1301,1447.3293
225000,1631.3705,1516.9989
226000,1716.1361,1495.1353
227000,1776.1407,1523.1198
228000,1768.1591,1521.1465
229000,1687.7052,1506.015
230000,1707.4046,1427.4016
231000,1870.841,1532.7814
232000,1785.4225,1510.2855
233000,1826.1786,1493.9945
234000,1733.6431,1424.7217
235000,1678.0399,1470.3329
236000,1765.2903,1460.8252
237000,1682.3458,1551.9486
238000,1771.2684,1501.5335
239000,1870.6611,1422.0099
240000,1724.8161,1466.982
241000,1820.7402,1520.5616
242000,1727.1894,1434.906
243000,1723.9755,1512.6348
244000,1860.0194,1488.9786
245000,1734.6573,1457.0693
246000,1859.898,1503.7134
247000,1797.7122,1492.3889
248000,1789.6436,1515.9401
249000,1904.9222,1468.6422
250000,1771.8846,1494.6411
251000,1778.6327,1535.7366
252000,1997.0742,1516.8571
253000,1838.7659,1503.3643
254000,1959.5552,1546.9394
255000,1905.8837,1467.8155
256000,1936.2776,1563.3414
257000,1860.5756,1478.5015
258000,1873.9364,1485.4345
259000,1877.8779,1531.2572
260000,1939.7633,1584.1678
261000,1964.6218,1585.9459
262000,1929.5343,1563.3865
263000,1896.5282,1564.3933
264000,2025.6022,1551.5611
265000,1936.0535,1478.2264
266000,1954.162,1556.7569
267000,2018.4101,1656.1708
268000,1961.2408,1635.9685
269000,2021.8495,1649.7201
270000,2146.8638,1484.9705
271000,1957.1021,1471.9751
272000,1971.3315,1568.4315
273000,2041.3266,1477.6278
274000,1962.3814,1586.7613
275000,1964.2865,1470.8416
276000,2042.6625,1516.4376
277000,2035.5975,1476.743
278000,2124.1507,1609.3491
279000,2056.0292,1559.5918
280000,2026.8855,1510.6851
281000,2039.8476,1534.0795
282000,2033.8822,1546.0506
283000,2025.1241,1526.5645
284000,2090.7748,1538.8412
285000,2047.4473,1567.2051
286000,2144.0834,1613.9311
287000,2097.9192,1508.686
288000,1966.1836,1551.5074
